"provincia","data","totale_casi","long","lat","week","totale_casi_t","totale_casi_lag1","totale_casi_lag2","diff_totale_casi1","diff_totale_casi2"
"TO",2,141,13.5845749,37.30971088,9,0,0,0,0,0
"VC",2,3789,8.615401155,44.91297351,9,0,0,0,0,0
"NO",2,1853,13.5188753,43.61675973,9,0,0,0,0,0
"CN",2,1173,7.320149366,45.73750286,9,0,0,0,0,0
"AT",2,289,13.57691127,42.85322304,9,0,0,0,0,0
"AL",2,246,13.39843823,42.35122196,9,0,0,0,0,0
"BI",2,669,11.88228844,43.46642752,9,0,0,0,0,0
"VB",2,1741,8.204142547,44.89912921,9,0,0,0,0,0
"AO",2,514,14.79528803,40.91404699,9,0,0,0,0,0
"VA",2,1434,16.86736689,41.12559576,9,0,0,0,0,0
"CO",2,12397,9.668424528,45.69441368,9,20,18,0,2,18
"SO",2,1023,8.054082167,45.5665112,9,0,0,0,0,0
"MI",2,1151,12.21704167,46.13837528,9,0,0,0,0,0
"BG",2,196,14.78151683,41.12969987,9,0,0,0,0,0
"BS",2,4868,11.3417208,44.49436681,9,0,0,0,0,0
"PV",2,619,17.94601575,40.63848545,9,0,0,0,0,0
"CR",2,14091,10.21910323,45.53993052,9,2,0,0,2,0
"MN",2,382,16.29520432,41.22705039,9,0,0,0,0,0
"LC",2,2578,11.35662422,46.49933453,9,1,1,0,0,1
"LO",2,247,9.110616306,39.21531192,9,0,0,0,0,0
"MB",2,334,14.65916051,41.55774754,9,0,0,0,0,0
"BZ",2,446,14.33240464,41.07465878,9,0,0,0,0,0
"TN",2,802,14.16754574,42.35103167,9,0,0,0,0,0
"VR",2,170,14.06184973,37.49213171,9,0,0,0,0,0
"VI",2,2685,7.551171632,44.39329625,9,0,0,0,0,0
"BL",2,3625,9.085159546,45.8099912,9,0,0,0,0,0
"TV",2,6313,10.02420865,45.13336675,9,57,53,0,4,53
"VE",2,467,16.25609692,39.29308681,9,0,0,0,0,0
"PD",2,1061,15.08704691,37.50287803,9,0,0,0,0,0
"RO",2,211,16.59440194,38.90597598,9,0,0,0,0,0
"UD",2,421,14.27909375,37.56705701,9,0,0,0,0,0
"GO",2,1695,12.04068608,44.22268559,9,0,0,0,0,0
"TS",2,980,11.61868934,44.83599085,9,0,0,0,0,0
"PN",2,1126,15.54305094,41.46226865,9,0,0,0,0,0
"IM",2,3385,11.25588885,43.76923077,9,2,1,0,1,1
"SV",2,455,13.71839535,43.16058534,9,0,0,0,0,0
"GE",2,581,13.35117161,41.63964569,9,0,0,0,0,0
"SP",2,5260,8.9326992,44.41149314,9,0,0,0,0,0
"PC",2,200,13.62212502,45.94149817,9,0,0,0,0,0
"PR",2,421,11.11356398,42.76026758,9,0,0,0,0,0
"RE",2,1470,8.027850298,43.88570648,9,0,0,0,0,0
"MO",2,57,14.22575407,41.58800826,9,0,0,0,0,0
"BO",2,118,17.12538864,39.08036878,9,0,0,0,0,0
"FE",2,2634,9.393392246,45.85575781,9,0,0,0,0,0
"RA",2,508,18.1718973,40.35354285,9,0,0,0,0,0
"FC",2,541,10.3086781,43.55234873,9,0,0,0,0,0
"RN",2,3341,9.503720769,45.31440693,9,128,125,0,3,125
"MS",2,513,12.90368482,41.46759465,9,0,0,0,0,0
"LU",2,1338,10.50151366,43.84432283,9,0,0,0,0,0
"PT",2,5265,9.273582472,45.58439043,9,4,3,0,1,3
"FI",2,1092,13.45307182,43.30023926,9,0,0,0,0,0
"LI",2,560,15.55572302,38.19395845,9,0,0,0,0,0
"PI",2,22041,9.190347404,45.46679409,9,8,8,0,0,8
"AR",2,3282,10.79277363,45.15726772,9,0,0,0,0,0
"SI",2,3857,10.92615487,44.64600009,9,8,3,0,5,3
"GR",2,1042,10.14173829,44.03674425,9,0,0,0,0,0
"PO",2,206,16.59792442,40.66751177,9,0,0,0,0,0
